,company,title,location,criteria,description
0,PagSeguro PagBank,Engenheiro de Dados - Data & Analytics,"Prefeitura Regional da Sé, SP","Nível de experiência
Pleno-sênior
Tipo de trabalho
Tempo integral
Função
Tecnologia da informaçãoEngenharia
Setores
Serviços financeiros","O PagSeguro foi criado para oferecer soluções inovadoras, simples e seguras em meios de pagamento. Trabalhando conosco, você tem a oportunidade de fazer a diferença na vida de milhões de brasileiros e construir novas formas de se fazer e receber pagamentos.
Trabalhamos em times multidisciplinares e cultivamos uma filosofia de trabalho ágil e enxuta, com as áreas de Tecnologia e de Negócios trabalhando lado a lado para criar produtos que evoluam de forma iterativa para entregar valor aos clientes.

Requisitos
Superior completo em Tecnologia da Informação, Engenharia da Computação, Ciência da Computação ou áreas correlatas;
Garantir a preparação dos dados;
Experiência em Ambientes de Alta Criticidade e Alta Volumetria;Conhecimento em SQL;
Conhecimento de tuning de queries;
Construção e otimização de ETL;
Criação de modelos de dados e indicadores.

Principais Atividades
Desenvolvimento de soluções com grandes volumes de dados, seja offline ou real time;
Ajudar na expansão da Plataforma Analítica, com foco em Self-Service Analytics e ferramental Big Data;
Levantamento de requisitos junto a área de negócios;
Criação de modelos de dados analíticos e indicadores, e desenho e desenvolvimento de ETL;
Garantir políticas de segurança para acesso aos dados;
Fomentar a utilização de técnicas de automação para provisionamento, configuração e monitoramento dos ambientes analíticos;
Acompanhar e administrar SLAs de entrega de dados e análises para usuários;
Ter conhecimento de modelos/regras de negócio para garantir a governança da informação;
Atualizar e acompanhar indicadores de disponibilidade e processamentos de dados nas ferramentas de D&A;
Analisar e corrigir eventuais problemas na execução de cargas de dados.

 Conhecimento Esperado
Conhecimentos avançados em SQL;
Experiência com modelagem dimensional de dados e desenvolvimento de ETL;
Experiência com ferramentas de Data Visualization como Power BI;
Experiência com levantamento de requisitos;
Conhecimentos avançados em programação (preferencialmente Python);
Conhecimentos em otimização de performance em processos Spark;
Experiência com tecnologias como: Apache Airflow, Spark, Kafka, AWS (Redshift, EMR, S3, Glue, Hive e Athena) e Pentaho."
1,Banco PAN,Especialista de Proteção de Dados,"São Paulo, SP","Nível de experiência
Pleno-sênior
Tipo de trabalho
Tempo integral
Função
Tecnologia da informação
Setores
Bancos","Todas as nossas vagas também são dedicadas à Diversidade e Inclusão

Precisamos de pessoas com Simplicidade que Conecta, Conhecimento sem Comodismo e Vontade de resolver.

Buscamos gente com Foco em Resultado e Entrega, Transparência e Agilidade, Relacionamento Interpessoal e Proatividade
 Principais Atividades:
Desenvolver e revisar políticas e metodologias para gerenciamento dos controles de requerimentos regulatórios,diretrizes da empresa e melhores práticas;
Interagir com diversas áreas para mapear processos de negócio;
Desenvolvimento de planos de ação corretiva e liderança de projetos para adequações necessárias;
Realizar sessões de treinamento e conscientização para todos os
funcionários sobre os requisitos / melhorias da privacidade de dados;
Conduzir a correção de riscos funcionais cruzados com as partes interessadas (TI, recursos humanos, áreas de negócio, etc);
Manter o painel de riscos e registrar os incidentes, incluindo
geração de relatórios de progresso em relação aos KPIs
 Formação Acadêmica:
Ensino Superior Completo em Engenharia da computação, Ciência da Computação, Análise de Sistemas ou áreas relacionadas.
 Requisitos:   
Vasta experiência na área de Segurança da Informação;
Atuação em projetos LGPD ou ter experiência com implantação GDPR;
Experiência em mapeamento, revisão e melhoria de fluxos de processos;
Experiência na elaboração e suporte para documentação de Riscos;
Conhecimento das melhores práticas e padrões do setor para segurança e privacidade (GDPR, PCI DSS e ISO 27001).

Desejável:  
Inglês intermediário
Possuir Certificações (CIPM, Exin Foudation , etc)


Localização: Avenida Paulista - SP"
2,Avon,Arquiteto de Dados Sr,"São Paulo, Brasil","Nível de experiência
Pleno-sênior
Tipo de trabalho
Tempo integral
Função
Tecnologia da informaçãoGestão de projetos
Setores
VarejoTelecomunicaçõesBancos","Atividades:  

Desenvolvimento, validação e comunicação de soluções de modelagem de dados, incluindo modelos relacionais e dimensionais.
 Identificar o impacto e as oportunidades de reutilizar estruturas de dados.
Responsável pelo desenvolvimento, manutenção e aplicação de padrões relacionados à arquitetura de dados.
Analisar oportunidades e desafios de integração de sistemas relacionados a dados.
Garantir que os projetos de soluções atendam aos requisitos de desempenho e disponibilidade, aos desafios de integridade e segurança, bem como aos requisitos funcionais dos negócios.


Pré Requisitos:

Graduação completa em Analise de Sistemas, Ciência da Computação e afins.
Inglês Fluente.
Experiência em conceitos de arquitetura de dados e projetos de BI.
Experiência em modelagem de dados relacional, dimensional e metadata.
Conhecimento em metodologias de desenvolvimentos.
Conhecimento em plataformas como Oracle, SQL Server, DB2."
3,Banco Inter,ARQUITETO DE DADOS,"Mesorregião Metropolitana de Belo Horizonte, MG","Nível de experiência
Júnior
Tipo de trabalho
Tempo integral
Função
Desenvolvimento de negóciosVendas
Setores
Marketing e publicidadeTecnologia da informação e serviços Software","ARQUITETO DE DADOS

Vem pra nossa revolução...

O Banco Inter é o primeiro banco 100% digital do Brasil e o único a oferecer uma conta completa e totalmente isenta de tarifas. Acreditamos que a relação das pessoas com seu banco pode ser muito mais simples, transparente e justa. E estamos fazendo essa transformação acontecer.

Hoje somos um Banco múltiplo, com ações listadas na B3 e todos os serviços financeiros que você precisa.
Quer fazer parte dessa revolução?

O que você irá fazer?

Desenhar e modelar novas soluções de arquitetura de dados seguras, confiáveis, disponíveis e escaláveis;
Criar e definir modelagens de repositórios de dados da instituição tais como (Data Lakes, DataWareHouses, Bases relacionais e não relacionais);
Desenvolver estratégias de aquisição de dados, recuperação de informação, implementação de pipelines de processamentos de dados e armazenamento de dados;
Manter repositórios de dados seguros e pipelines de integração confiáveis e escaláveis;
Planejar e modelar estruturas de comunicação de dados entre sistemas legados e repositórios de dados;
Implementar as melhores práticas de segurança e criptografia para ambiente big data;
Prover suporte técnico ao desenho de soluções garantindo alinhamento destas aos padrões definidos;
Planejar e gerenciar atividades da equipe de engenharia de dados, observando interesses da instituição assegurando prazo e qualidade das entregas;
Orientar, treinar e realizar suporte técnico às equipes de engenharia, análise e ciência de dados;
Planejar e gerenciar novos projetos inerentes às soluções de dados na instituição.
O que oferecemos?

Assistência médica
Assistência odontológica
Auxílio creche
Participação nos Lucros e Resultados
Seguro de vida
Vale Alimentação
Vale Refeição
Vale Transporte

O que buscamos?

Graduação completa em curso superior Ciências da Informação, Sistema de Informação e afins;
Desejável Inglês Intermediário;
Desejável atuação no seguimento Financeiro;
Desejável conhecimento em fluxo de Sprint, metodologia Scrum.
#Vempranossarevolução!!!

O Banco Inter é parceiro e está por dentro de projetos inclusivos, todas as nossas vagas são direcionadas a PCDs."
4,Grupo Boticário,Engenheiro de dados,"Curitiba, PR","Nível de experiência
Pleno-sênior
Tipo de trabalho
Tempo integral
Função
Tecnologia da informaçãoOutroGerenciamento
Setores
Cosmética","Como será seu dia?
Buscamos um (a) Analista de Dados Sênior para trabalhar em Tecnologia de Informação disposto (a) a impulsionar a transformação digital de dados da área de Recursos Humanos, você irá ser o sponsor de TI dentro da área de people analytics do RH;
Irá apoiar na construção do Banco de dados da área, desde a coleta, até a entrega para análise ou para alimentar um produto ou serviço;
Será o responsável por construir e ajudar o time de engenheiros de dados a achar as informações que precisa, envolvendo organização de grandes quantidades de dados de múltiplas fontes;
Fomentando a utilização de técnicas de automação de processos e coleta de dados, e oferecer acesso e ferramentas para analistas de dados que usam as informações para análises;
Você terá contato com todos as áreas de RH do grupo Boticário e terá oportunidade de construir soluções que irão transformar o RH do GB.

O que ter ou saber?
Experiência prévia em banco de de dados;
Conhecimentos em Python, R ou SQL e arquitetura de dados;
Conhecimento em modelagem de dados relacional e não relacional;
Experiência em integração de dados ambientes complexos;
Superior Completo em Estatística, Sistemas de Informação, Ciência da Computação ou áreas afins;
Conhecimento em tecnologia na nuvem.
Experiência em projetos, configurando o desenho e definição de arquitetura de dados (em ambientes de BI e Big Data), garantir a integração dos dados e cruzamento de informações
Desejável

- Conhecimento data mining, big data, arquiteturas de microserviços, segurança de dados ou machine learning
Experiencia em Metodologias ágeis
- Vivência com soluções de RH (Recrutamento e Seleção, planejamento de pessoas, educação corporativa, Gestão de Performance e People Analytics)"
5,Gerencianet,Engenheiro de Dados,"Ouro Preto, MG","Nível de experiência
Pleno-sênior
Tipo de trabalho
Tempo integral
Função
Tecnologia da informação
Setores
Serviços financeiros","Quais serão suas principais atividades?
Planejar, implementar e manter na AWS as arquiteturas de dados;
Estruturar, processar e disponibilizar grandes volumes de dados e informações;
Avaliar as arquiteturas alinhando-as com os requisitos de negócio;
Avaliar os custos computacionais das arquiteturas de dados;
Desenvolver e aplicar ETL em dados entre bancos;
Desenvolver políticas e procedimentos para a coleta e análise de dados;
Realizar o perfilamento dos dados para identificar e entender anomalias;
Monitorar os mecanismos de coleta de dados;
Identificar e implementar melhorias na eficiência, da qualidade dos dados e dos custos;
Implementar novas metodologias de coleta e armazenamento de dados conforme os desafios. 

Requisitos:
Conhecimento em análise de dados;
Experiencia como Engenharia de Dados ou equivalente utilizando serviços da AWS;
Conhecimento e domínio de metodologias de modelagem de dados;
Experiencia com bancos de dados computacionais distribuídos;
Experiencia com design e manipulação de Data Warehouse/Data Lake;
Experiencia com ferramentas de ETL;
Conhecimento em bancos de dados SQL e NoSQL;
Conhecimento em linguagens de programação.

Desejável: 
Conhecimento em Arquitetura de Business Intelligence;
Excel Intermediário;
Inglês para Leitura e Escrita.

Formação: Ensino superior completo em Ciência da Computação, Sistemas de Informação ou áreas relacionadas.

Nossos Benefícios:
Plano de Saúde e Odontológico para colaboradores e dependentes
Bolsa de estudos para dependentes de até 17 anos;
Participação nos resultados;
Vale Transporte;
Vale Alimentação no valor de R$ 750,00;
Almoço e lanches na empresa com cafés, snacks, sucos e frutas;
Área de descompressão para relaxar, jogar ou ler livros;
Ambiente de trabalho descontraído e propício para o aprendizado.

Salário: A partir de R$ 7.000,00

Local de Trabalho: Ouro Preto/MG."
6,SBR ThinkingAhead,Cientista de Dados,"Mesorregião Metropolitana de Belo Horizonte, MG","Nível de experiência
Não aplicável
Tipo de trabalho
Tempo integral
Função
EngenhariaTecnologia da informação
Setores
Tecnologia da informação e serviços SoftwareRecursos humanos","Atuar com manipulação de dados e criação de modelos estatísticos em grandes conjuntos de dados.Desenvolver, aplicar e treinar algoritimos de IA/MLIdentificar e promover melhorias nas ferramentas e processos relacionados à ciência de dados.Realizar entregas e demandas solicitadas dentro dos prazos estipulados.
Formação superior completa em engenharia, estatística, ciência da computação ou áreas afins;Especialização ou mestrado em Ciência de dados;Conhecimento em métodos algorítimos de IA e Machine Learning;Conhecimentos avançados em programação, preferencialmente Python;Conhecimentos avançados em ferramentas estatísticas, em especial SAS e R;Conhecimentos avançados em SQL para exploração, tratamento e preparação de dados."
7,Banco Inter,ANALISTA DE ENGENHARIA DE DADOS,"Mesorregião Metropolitana de Belo Horizonte, MG","Nível de experiência
Assistente
Tipo de trabalho
Tempo integral
Função
EngenhariaTecnologia da informação
Setores
Marketing e publicidadeTecnologia da informação e serviços Software","ANALISTA DE ENGENHARIA DE DADOS


Vem pra nossa revolução...

O Banco Inter é o primeiro banco 100% digital do Brasil e o único a oferecer uma conta completa e totalmente isenta de tarifas. Acreditamos que a relação das pessoas com seu banco pode ser muito mais simples, transparente e justa. E estamos fazendo essa transformação acontecer.

Hoje somos um Banco múltiplo, com ações listadas na B3 e todos os serviços financeiros que você precisa.
Quer fazer parte dessa revolução?

O que você irá fazer?

Sua função principal será construir e gerenciar pipelines confiáveis de dados envolvendo ingestão/coleta, processamento, integração, armazenamento e disponibilização de dados na organização. Além disso, irá trabalhar com uma arquitetura de sistemas distribuídos para o processamento de dados massivos em paralelo (MPP), combinando diversas fontes de dados heterogêneas e colaborando com equipes de análise e ciência de dados na construção de soluções e geração de valor baseadas em dados.

O que oferecemos?

Assistência médica
Assistência odontológica
Auxílio creche
Participação nos Lucros e Resultados
Seguro de vida
Vale Alimentação
Vale Refeição
Vale Transporte

O que buscamos?

Graduação completa em curso superior Ciências da Informação, Sistema de Informação e afins;
Desejável pós graduação e/ou especialização em Business Intelligence, Big Data ou Arquitetura de Software Distribuídos;
Experiência prática com ingestão, integração, processamento e armazenamento de grandes volumes de dados;
Atuação em projetos de BI, Big Data;
Experiências em ferramentas ETL’s;
Conhecimento em modelagem de dados relacionais e dimensionais (Data WareHouse);
Compreensão da arquitetura lambda;
Experiência com bancos de dados relacionais como: SQL Server, Oracle, PostGreeSQL e MySql;
Experiência com bancos de dados não relacionais como: HBase, DynamoDB, Cassandra ou MongoDB;
Experiência com conjunto de ferramentas relacionadas a Big Data na AWS como: EMR, Kinesis, RedShift, S3, Glue, Athena, ElasticSearch;
Experiências em tecnologias relacionadas ao ecossistema Hadoop tais como: Hdfs, HBase, MapReduce, Spark, Hive;
Conhecimento em linguagem Python, Java e/ou Scala;
Conhecimento em sistemas baseados no Unix;
Conhecimento em ferramentas de provisionamento de infraestrutura em cloud via código tais como: Terraform, CloudFormation.
#Vempranossarevolução!!!

O Banco Inter é parceiro e está por dentro de projetos inclusivos, todas as nossas vagas são direcionadas a PCDs."
8,Escola Eleva,Analista de Business Intelligence - Rio de Janeiro/RJ,"Niterói, RJ","Nível de experiência
Júnior
Tipo de trabalho
Tempo integral
Função
Desenvolvimento de negóciosVendas
Setores
Tecnologia da informação e serviços Gestão educacionalRecursos humanos","Estamos em busca de uma pessoa comunicativa, proativa, analítica, organizada, bem humorada, com o bjetivo de fazer análises de dados para criar campanhas, estratégias novas de negócio e identificar oportunidades para empresa.

Responsabilidades e atribuições

Responsabilidades e Atribuições
Projetar, administrar e manter cubos do SSAS (MDX) a partir de modelos dimensionais;
Criar relatórios e dashboards;
Extrair dados complexos de várias fontes através de ferramentas de ETL;
Monitorar e ajustar contínuos de desempenho e a automação de atividades de produção relacionadas ao ambiente de BI.

Requisitos e qualificações

Requisitos e Qualificações
Graduação completa em Ciência da Computação, Sistema de Informação ou áreas afins;
Domínio e conhecimento em ferramentas de BI e banco de dados, preferencialmente com SSIS e SSAS;
Experiência em Power BI ou outra solução de visualização de dados;
Ter experiência com bancos relacionais, preferencialmente com SQL Server 2016.
Conhecimento em desenvolvimento, preferencialmente com C#, R, Python, Visual Studio, Orientação a Objetos;
Ter conhecimento de machine learning e análise de dados.

Informações adicionais

Horário

44 horas semanais

Benefícios

Vale transporte

Plano de Saúde

Plano Odontológico

Contrato

CLT"
9,National Kidney Foundation of Michigan,Cientista de Dados Sr.,"Mesorregião Metropolitana de Belo Horizonte, MG","Nível de experiência
Não aplicável
Tipo de trabalho
Tempo integral
Função
Outro
Setores
Tecnologia da informação e serviços Engenharia mecânica ou industrialServiços financeiros","Cientista de Dados
Entender questões de negócio que podem ser resolvidas com ciência de dados, utilizando análises estatísticas e modelos de machine learning;
Garantir integridade no levantamento de dados de todas as fontes para todas as análises da equipe de dados;
Coletar e preparar bases de dados para as análises;
Realizar exploração dos dados, testar hipóteses, identificar insights e validar com as áreas de negócio;
Desenvolver modelos estatísticos e de machine learning;
Implantar modelos para consumo pela área de negócio;
Gerar análises e reports para as áreas de negócio;
Contribuir com ideias de negócio nas análises de ciência de dados da área.
Mestrado, MBA ou Certificações em Machine Learning e Ciência de Dados;
Experiência com aprendizado de máquina e seus pacotes de implementação correspondentes em R e/ou Python;
Experiência na análise de grandes conjuntos de dados multidimensionais com consulta de dados (SQL);
Experiência em lidar com dados estruturados e não estruturados;
Capacidade analítica para exploração e visualização de dados;
Experiência em projetos de NLP é um diferencial."
