,company,title,location,criteria,description
0,Wish,Data Scientist,"San Francisco, CA","Seniority level
Not Applicable
Employment type
Full-time
Job function
EngineeringInformation Technology
Industries
Computer SoftwareInternetConsumer Goods","At Wish, our Data Science & Engineering team is comprised of Data Scientists, Data Analysts & Data Engineers who focus on centralizing corporate data in order to gain insights, knowledge and scalability, that empower a proactive and rigorous analysis of key business indicators. Our mission is to derive wisdom from data via the application of Data Science.

Wish has exciting opportunities for talented Data Scientists to form the foundation of our centralized data science team. Successful candidates will have extensive backgrounds in a quantitative fields and s track record of using data to drive the understanding, growth, and the success of a product. As a member of this team, you will be empowered and motivated to drive business impact through data.

As a Data Scientist At Wish, You Will
Apply statistics techniques to improve Wish’s experimentation platform and process.
Apply economics methodologies to understand and improve Wish’s two-sided marketplace.
Apply optimization techniques to improve Wish’s logistics and overall user experiences.
Apply machine learning techniques to improve Wish’s product and operation.

Required Skills & Experience
Advanced degree in a quantitative field.
A minimum of 3 years of Data Science experience in technology or research industry.
Proficient in Python or R

Preferred Skills
Demonstrated track record of successful projects in applying quantitative techniques to improve a product or business.
5+ years work experience in technology or research industry.
Domain expert in one of the fields: statistics, machine learning, optimization, and economics.

Why Wish

Wish is transforming the way the world shops by offering a convenient and personalized mobile shopping experience. Our mission is to offer an unlimited selection of affordable quality goods to be accessible for everyone on a global scale. We bring together world-class technical talent with a passion for connecting relevant products to relevant people.

Learn More About Us

Intro to Wish

Our CEO discusses Wish

Crunchbase

Recruiting Video

Wish values diversity and is committed to creating an inclusive work environment. We provide equal employment opportunity for all applicants and employees. We do not discriminate based on any legally-protected class or characteristic. Employment decisions are made based on qualifications, merit, and business needs. If you need assistance or accommodation due to a disability, please let your recruiter know. For job positions in San Francisco, CA, and other locations where required, we will consider for employment qualified applicants with arrest and conviction records.

Individuals applying for positions at Wish, including California residents, can see our privacy policy here ."
1,Lemonade,ML/AI Data Scientist,"New York, NY","Seniority level
Entry level
Employment type
Full-time
Job function
EngineeringInformation Technology
Industries
Computer SoftwareInternetInsurance","Calling all data scientists! We’re on the search for an experienced data scientist and math nerd with a passion for ML/AI. As a Data Scientist at our Tel Aviv office, you’ll be responsible for exciting innovations around Risk Analysis, Fraud Mitigation, NLP, ML and prediction problems.

We’re looking for people who love innovation, playing with AI, and challenging the status quo. We’re all about creative, self-starting leaders who are excited by the very thought of changing an entire industry for the better. Ideal candidate has Statistics, Computer Science or Mathematics degree and is fluent in Python, R, and has knowledge of relational and NoSQL databases.
Requirements
3+ years working as a data scientist (preferably for a startup)
MSc+ in Statistics, Computer Science, Mathematics or equivalent practical experience
Writes Python, R code
All around team player, fast, and self-learning individual
Passion for data
Knowledge of relational and NoSQL databases
Smart, problem solver
Loves getting shit done!
Experience working on high-scale, production-grade projects
About Lemonade
Lemonade is a licensed insurance carrier offering renters and homeowners insurance powered by artificial intelligence and behavioral economics and driven by social good. Instead of brokers and bureaucracy, we use bots and machine learning to create an insurance experience that is (90 seconds to get insured!), affordable (policies start at $5/month), and paperless.

Founded by Shai Wininger and Daniel Schreiber and backed by SoftBank, GV, Sequoia, General Catalyst and others, we’re transforming insurance from a necessary evil into a social good by injecting technology and transparency into an industry that often lacks both.

We believe in doing things differently, pushing boundaries, and questioning everything. And as aCertified B-Corp insurance, we incorporate our values of doing good into everything we do – from our business model to our office culture."
2,Apple,Data Scientist,"Cupertino, CA","Seniority level
Not Applicable
Employment type
Full-time
Job function
EngineeringInformation Technology
Industries
Consumer Electronics","Summary

We’re a diverse collective of thinkers and doers, continuously reimagining our products and practices to help people do what they love in new ways. That innovation is inspired by a shared commitment to great work — and to each other. Because learning from the people here means we’re learning from the best.

Do you have a strong passion for data and effective visualization techniques? As a Data Scientist on the Retail Analytics team, you play an integral role in helping Apple Retail make decisions using data. Design, refine, and create innovative analyses and data products. Leverage large and complex data sources, deriving actionable insights, delivering dynamic and intuitive decision tools, and presenting your findings to key executives.

Key Qualifications
2+ years of related work experience in consulting or other related business facing role
Fluency in SQL for data access, manipulation, and validation
Proficiency in either R, Python or SAS for data analysis
Passion for data visualization and information design (proficiency in Tableau preferred)
Capable of clearly communicating complex analyses to a non-technical audience, including extensive experience presenting to leadership groups
Ability to initiate, refine, and complete projects with minimal guidance
DescriptionYou will partner with cross-functional teams to identify, frame, prioritize, and answer business questions where analytics can be most impactful. Design and implement analytics and reporting tools to support key decisions on a wide variety of topics including product launches, customer experience, and operational performance. Quickly outline and build customized analyses for Retail leadership and perform all aspects of analysis including data acquisition and manipulation, programming, data visualization, documentation, and presentation of results. Develop a deep understanding of our retail customer base and purchase choices and contribute to the development of tools to improve team efficiency and productivity.

Education & ExperienceMinimum of bachelor’s degree, preferably in related quantitative field"
3,Voice,Data Scientist,New York City Metropolitan Area,"Seniority level
Mid-Senior level
Employment type
Full-time
Job function
EngineeringInformation Technology
Industries
InternetOnline MediaInformation Technology and Services","Get to Know Voice
Voice is a rewards-based social media network for content creation, discovery and discussion. Built by and for its users, Voice aims to rebuild public trust in media by focusing on transparency, authenticity, and alignment.  Spun out of Block.One and built on the EOSIO protocol, Voice leverages the inherent characteristics of blockchain technology to architect integrity into the platform.
 Description
We’re seeking an experienced data scientist to deliver data insight to us on a daily basis. Our ideal team member will have the mathematical and statistical expertise you’d expect, but a natural curiosity and creative mind that’s not so easy to find. As you mine, interpret, and clean our data, we will rely on you to ask questions, connect the dots, and uncover opportunities that lie hidden within.

This is an exciting opportunity to join a thriving, well-funded startup with big ambitions. In addition to doing ground breaking work, this role will be pivotal in establishing a culture of openness, positive communication, and continuous learning. We are looking for the best and brightest to take our platform to the next level. Are you that person? Let’s talk. 
 Responsibilities:
Identify and integrate new datasets, working closely with the engineering team to strategize and execute the development of data products.
Implement analytical models into production by collaborating with software developers and machine learning engineers.
Execute analytical experiments methodically to help solve various problems and make a true impact across various domains and industries.
Communicate analytic solutions and implement improvements as needed to operational systems.
Other duties as assigned. 

Qualifications
Bachelor’s degree in Statistics, Applied Mathematics, or related discipline
3 to 6 years of practical experience in data science (compensation scales accordingly)
Proficiency with data mining, mathematics, and statistical analysis
Advanced pattern recognition and predictive modeling experience
Experience with data visualization, analytics platforms and basic programming languages  (i.e., Java/Python, SAS)
Comfort working in a dynamic, research-oriented group with several ongoing concurrent projects"
4,PayPal,Data Scientist,"San Jose, CA","Seniority level
Not Applicable
Employment type
Full-time
Job function
EngineeringInformation Technology
Industries
Computer SoftwareFinancial ServicesInternet","Who We Are

Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 305 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom, enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.

When applying for a job you are required to create an account, if you have already created account - click Sign In.

Creating an account will allow you to follow the progress of your applications.

Note

Provide full legal first Name/Family Name
DO: Capitalize first letter of First and Last Name. Example: John Smith
DON'T: Capitalize entire First and/or Last Name. Example: JOHN SMITH
NOTE: Use correct grammar for Names with multiple cases. Example: McDonald or O'Connell

Provide full address details

Resume Is Required

Multiple attachments can be uploaded including Resume and Cover Letter for each application

Job Description Summary

At PayPal, we’re literally reinventing how the world pays and gets paid. We understand that it’s about people. We connect individuals to let them shop, get paid, donate and send money using today’s technology with the confidence that comes from the security and control PayPal enables. Are you ready to help us change the world?

The world’s leading payments company, PayPal, brings together a family of brands that are revolutionizing the way people move money. At PayPal you will be immersed in an amazing community with a vibrant culture that thrives on innovation, collaboration, inclusion and wellness.

As a Data Scientist in PayPal’s Global Data Science organization, you will have an impact on PayPal’s marketing and product all around the world. Our data scientists work to better understand our end-users, identify opportunities and improve our products and marketing outreach by creating personal and smart experiences. Making use of PayPal’s endless amount of data, you will leverage your data and machine learning skills for research and delivery of end-to-end Data Science solutions.

If you are an experienced Data Scientist with sharp analytical skills and a passion for deriving new insights from unimaginable amounts of data, solving unique challenges, leveraging machine learning algorithms, and working in a highly collaborative, values-driven environment – then PayPal’s Global Data Sciences (GDS) is looking for you.

Job Description

In your role as a Lead Data-Scientist, you will:

Work with partners to translate business challenges into Data Science problems
Mine data and extract information in PayPal’s Big Data environment
Leverage Machine Learning algorithms to solve real-life problems
Work with engineers and product managers to develop and deliver E2E data science driven solutions that bring real business value
Analyze various kinds of data to conclude actionable insights
Carry out independent research and innovation in new content, ML and technological domains, while supporting existing projects

About You

Masters, PhD, or equivalent experience in a quantitative field (Computer Science, Mathematics, Engineering, Artificial Intelligence, etc.
1-2 years Product/Marketing data science work experience is a plus
Code writing capability in any programming language (Python, R, Java, Scala, etc.) and familiarity with relevant ML packages
Hadoop experience (PIG, Hive, Spark)
Strong analytical skills
Excellent spoken and written English
Team worker, responsible, delivery-oriented

Subsidiary

PayPal

Travel Percent

0
Primary Location:
San Jose, California, United States of America
Additional Locations:

We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.

PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com .

Reference Number: R0054368"
5,PepsiCo,"R&D Scientist, Data Science and Analytics","Purchase, NY","Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Research
Industries
Consumer GoodsFood & Beverages","Auto req ID: 207072BR

Job Description

Bring your passion and talent in Data Science to our stage and continue to share our future and deliver innovative products to delight our consumers.

PepsiCo Global R&D’s Data Science and Analytics team focuses on the autonomous or semi-autonomous examination of data and content to discover deep insights, make predictions, and/or provide recommendations. We use various techniques and tools that are beyond traditional business intelligence ones. Our major techniques and expertise include, ML/AI for predictive modeling and cognitive computing (vision, speech, language analytics, etc.), and robotic process automation (RPA). We support research and development of PepsiCo’s diverse portfolio of beverages and foods to make a business impact on market success.

Rewarding opportunity for personal and professional growth. You will have a unique opportunity to propel the use of Data Science in an R&D setting to build and sustain our innovation pipeline.
As a data scientist, you will proactively obtain data/information from various sources and analyze them to provide a better understanding of R&D Innovation performance. You will build AI/ML tools that automate certain processes within Global R&D. Your duties typically include creating various AI/ML-based tools or processes within Global R&D, such as recommendation engines or predictive models. Ability to perform statistical analyses is also within scope of the role.

Critical Competencies
Execute operating plan projects through statistical methods and advanced data modeling techniques that provide business impact and value
Partner with R&D Categories to identify new advanced analytic tools as needed
Select features, build and optimize classifiers using machine learning techniques
Data mining using state-of-the-art methods
Extend company’s data with third party sources of information when needed
Enhance data collection procedures to include information that is relevant to building analytic systems
Process, cleanse, and verify the integrity of data used for analysis
Communicate and presenting results in a clear manner

Qualifications/Requirements
Execute operating plan projects through statistical methods and advanced data modeling techniques that provide business impacts and value
Partner with R&D Categories to identify new advanced analytic tools as needed
Select features, build and optimize classifiers using machine learning techniques
Data mining using state-of-the-art methods
Extend company’s data with third party sources of information when needed
Enhance data collection procedures to include information that is relevant to building analytic systems
Process, cleanse, and verify the integrity of data used for analysis
Communicate and presenting results in a clear manner

Knowledge & Experience
Minimum Master’s degree in Statistics, Mathematics, Computer Science or other quantitative Science/Engineering field.
Strong problem-solving skills with an emphasis on R&D innovation applications.
Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets.
Experience working with and creating data architectures.
Knowledge of advanced statistical techniques and concepts (regression, distributions, statistical tests and proper usage, etc.) and experience with their applications.
Knowledge of a variety of machine learning techniques (clustering, decision trees, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Relocation Eligible: Not Eligible for Relocation
Job Type: Regular

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.

PepsiCo is an Equal Opportunity Employer: Female / Minority / Disability / Protected Veteran / Sexual Orientation / Gender Identity

Our Company will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Fair Credit Reporting Act, and all other applicable laws, including but not limited to, San Francisco Police Code Sections 4901 - 4919, commonly referred to as the San Francisco Fair Chance Ordinance; and Chapter XVII, Article 9 of the Los Angeles Municipal Code, commonly referred to as the Fair Chance Initiative for Hiring Ordinance.

If you'd like more information about your EEO rights as an applicant under the law, please download the available EEO is the Law & EEO is the Law Supplement documents. View PepsiCo EEO Policy

Please view our Pay Transparency Statement"
6,Starbucks,"data scientist, Operations Analytics -Seattle, WA","Seattle, WA","Seniority level
Not Applicable
Employment type
Full-time
Job function
Strategy/PlanningAnalyst
Industries
Consumer GoodsFood & BeveragesRetail","Now Brewing – Data Scientist, Operations Analytics #tobeapartner

From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and its rich tradition, but that also brought a feeling of connection. We are known for developing and supporting partners who share this passion and are guided by their service to others.

As a Starbucks Data Scientist, you will support the Operation Services organization and contribute to Starbucks success by guiding business decisions through utilizing data analysis and consulting that results in predicting outcomes, understanding complex data relationships, and developing a quantitative return on investment. This position partners on a cross-functional team of data scientists, decision scientists and data analysts supporting strategic initiatives utilizing the latest in computing technologies and operating across customer transactions and data elements to unlock the opportunities to support our global business.

Leveraging Your Previous Experience, We Will Enable You To
Use statistical, machine learning techniques to build models that address business needs.
Extract data from various data sources; performs exploratory data analysis, cleanses, massages, and aggregates data
Collaborate cross functionally with other data scientists, statisticians, and business analysts to define business problems and implement solutions.
Employ scaling & automation to data preparation techniques
Connect insights to business decision making options and next steps testing or research opportunities
Understand business initiatives and serves as primary analytic resource in discussions with business partners to define business questions
Drive creation of final insights package and recommendations; leads presentation
Direct analytic component of implementation of insights into business processes and ensures appropriate testing takes place
Develop project proposals, gains stakeholder buy-in, and ensures timelines are met
Promote and advocate value of advanced analytics to solve business problems within department

We’d Love To Hear From People With
Education: BS+ with concentration in quantitative discipline - Stats, Math, Comp Sci, Engineering, Econ, Quantitative Social Science or similar discipline
Minimum of 2+ years industry experience in data science
Strong background working with predictive and statistical modeling, machine learning and strong expertise in all phases of the modeling pipeline
Experience building complex data sets from multiple data sources, both internally and externally.
Strong SQL, databases and ETL skills required including cleaning and managing data.
Advanced competency and expertise in Python, R or some combination
Ability to apply knowledge of multidisciplinary business principles and practices to achieve successful outcomes in cross-functional projects and activities
Ability to educate others on statistical / machine learning methods
Self-starter, attention to details and results orientated, able to work under minimal guidance.
Proficient in communicating effectively with both technical and nontechnical stakeholders.
Retail and eCommerce experience, preferred
Experience on Cloud platforms such as Azure, AWS, preferred
Experience working with distributed data processing frameworks such as Spark and Data bricks, and languages such as Java, PySpark or Scala, preferred

Let us give you the opportunity to be part of something bigger than yourself. It’s time for you to #beapartner. Apply today!

Starbucks is an equal opportunity employer of all qualified individuals, including minorities, women, veterans & individuals with disabilities. Starbucks will consider for employment qualified applicants with criminal histories in a manner consistent with all federal, state, and local ordinances"
7,UnitedHealth Group,"Data Scientist - Boston, MA",Greater Boston,"Seniority level
Entry level
Employment type
Full-time
Job function
EngineeringInformation Technology
Industries
Information Technology and ServicesFinancial ServicesHospital & Health Care","Optum Analytics solutions create a longitudinal view of both individual patients and patient populations. We gather, normalize, and analyze data from disparate sources that, uniquely, span the continuum of care--including EHRs, Practice Management Systems and claims. Our EHR data alone accounts for over 80M patient lives across the U.S.

Primary Responsibilities

We are looking for a senior level data scientist who is eager to tackle the challenges of extracting insights from vast amounts of EHR data originating from multiple sources. You will work with Optum researchers, clinicians, internal and external clients to define the projects and see them through to completion that cover a range of clinical focus. You would be participating in the development of our end-to-end NLP pipeline. Specifically, as a member of our team you will be working with structured and unstructured data from conducting data exploration and data pre-processing (collecting, analyzing and cleaning), data annotation (data set creation, annotation specs design, working with annotators and reconciling annotations), model development, evaluation, optimization and monitoring. If you have the experience, curiosity and entrepreneurial spirit to tackle these challenges, we want to talk to you.

You’ll be rewarded and recognized for your performance in an environment that will challenge you and give you clear direction on what it takes to succeed in your role as well as provide development for other roles you may be interested in.

Required Qualifications
Intermediate experience in Python
Advanced knowledge of natural language processing, text analytics, data mining, text processing, information retrieval, OR other AI subdomains and techniques
Advanced knowledge of Data Science best practices, analytics, or programming projects
Experience with Scikit-learn, TensorFlow, Keras, Gensim, OR spaCy
Willingness to engage in all of the groups activities, such as curating annotations, model development, code reviews and ad-hoc requests

Preferred Qualifications
Experience as a hands-on developer, non-managerial role and executing on data science, analytics, or programming projects
Experience with open-source distributed data processing frameworks, such as Spark
Experience building scalable machine learning applications and deploying them in production
Strong prioritization skills; ability to manage ad hoc requests in parallel with ongoing projects
Experience working in a Linux environment
Experience working on a development team building product
Familiarity with EHR data and standards
Experience with SQL
Strong communication skills
Experience with Information Retrieval and relevant tools such as Lucene, Elasticsearch, or Solr
Collaborative “can-do” attitude
Careers with Optum. Here's the idea. We built an entire organization around one giant objective; make health care work better for everyone. So when it comes to how we use the world?s large accumulation of health-related information, or guide health and lifestyle choices or manage pharmacy benefits for millions, our first goal is to leap beyond the status quo and uncover new ways to serve. Optum, part of the UnitedHealth Group family of businesses, brings together some of the greatest minds and most advanced ideas on where health care has to go in order to reach its fullest potential. For you, that means working on high performance teams against sophisticated challenges that matter. Optum, incredible ideas in one incredible company and a singular opportunity to do your life's best work.SM

Diversity creates a healthier atmosphere: UnitedHealth Group is an Equal Employment Opportunity/Affirmative Action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.

UnitedHealth Group is a drug-free workplace. Candidates are required to pass a drug test before beginning employment.

Job Keywords: Data Scientist, Boston, MA"
8,Mitchell Martin Inc.,Data Scientist,Raleigh-Durham-Chapel Hill Area,"Seniority level
Mid-Senior level
Employment type
Contract
Job function
EngineeringInformation Technology
Industries
Staffing and Recruiting","Our insurance client is looking for a Data Scientist

Contract
Raleight, NC

Must have the following:
Expertise in Python and/or R with specific use in Predictive analytics/model building
Knowledge of SQL and relational database structure/architecture
Understanding of Spark architecture including built-in libraries
Understanding of the data science lifecycle
Familiarity with Azure
Ability to use Azure Data Factory for automated movement/ingestion of data
Understanding of various Machine Learning techniques and technologies "
9,Lyft,Data Scientist,"San Francisco, CA","Seniority level
Mid-Senior level
Employment type
Full-time
Job function
EngineeringInformation Technology
Industries
Information Technology and ServicesComputer SoftwareFinancial Services","At Lyft, our mission is to improve people’s lives with the world’s best transportation. To do this, we start with our own community by creating an open, inclusive, and diverse organization.

Data is at the heart of how Lyft makes business and product decisions. As a data science team, we work collaboratively with partners across product, engineering, operations and growth to develop business insights and make actionable recommendations. We’re looking for passionate data scientists to take on some of the most interesting and impactful problems in ridesharing.

You’ll work in a dynamic environment, where we embrace moving quickly to build the world’s best transportation. Data Scientists pursue a variety of problems ranging from understanding our passengers and drivers, to ensuring we have an efficient marketplace, to optimizing how we run our marketing and growth incentives. You’ll dig into the data to uncover insights, design experiments and measure the impact, and help influence decision-making across the entire organization.

You will report into a Science Manager.

Responsibilities
Set business metrics that measure the health of our products, as well as passenger and driver experience
Partner with product managers, engineers, marketers, designers, and operators to translate business insights into decisions and action
Find opportunities for growth and efficiency for Lyft
Design and analyze product experiments; communicate results and launch decisions
Develop analytical frameworks to monitor business and product performance


Experience
Degree in a quantitative field like statistics, economics, applied math, operations research or engineering. Advanced degrees are preferred
3+ years of industry experience in a data science or analytics role
Proficiency in SQL - able to write structured and efficient queries on large data sets
Experience in programming, especially with data science and visualization libraries in Python or R
Strong oral and written communication skills, and ability to collaborate with cross-functional partners to build the business


Benefits
Great medical, dental, and vision insurance options
In addition to 11 observed holidays, salaried team members have unlimited paid time off, hourly team members have 15 days paid time off
401(k) plan to help save for your future
18 weeks of paid parental leave. Biological, adoptive, and foster parents are all eligible
Pre-tax commuter benefits
Lyft Pink - Lyft team members get an exclusive opportunity to test new benefits of our Ridership Program
Lyft is an Equal Employment Opportunity employer that proudly pursues and hires a diverse workforce. Lyft does not make hiring or employment decisions on the basis of race, color, religion or religious belief, ethnic or national origin, nationality, sex, gender, gender-identity, sexual orientation, disability, age, military or veteran status, or any other basis protected by applicable local, state, or federal laws or prohibited by Company policy. Lyft also strives for a healthy and safe workplace and strictly prohibits harassment of any kind. Pursuant to the San Francisco Fair Chance Ordinance and other similar state laws and local ordinances, and its internal policy, Lyft will also consider for employment qualified applicants with arrest and conviction records."
